"","speciesKey","species","endem_class","perc_zt","n","usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","synonym","class","label"
"354",3109527,"Chuquiraga morenonis","[0,0.05)",0,11,3109527,"Chuquiraga morenonis (Kuntze) C.Ezcurra","Chuquiraga morenonis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Chuquiraga",6,7707728,220,414,3065,3109501,FALSE,"Magnoliopsida","Chuquiraga_morenonis"
"355",3109530,"Chuquiraga echegarayi","[0.99,1]",1,3,3109530,"Chuquiraga echegarayi Hieron.","Chuquiraga echegarayi","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Chuquiraga",6,7707728,220,414,3065,3109501,FALSE,"Magnoliopsida","Chuquiraga_echegarayi"
"356",3109531,"Chuquiraga calchaquina","[0.5,0.99)",0.827586206896552,29,3109531,"Chuquiraga calchaquina Cabrera","Chuquiraga calchaquina","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Chuquiraga",6,7707728,220,414,3065,3109501,FALSE,"Magnoliopsida","Chuquiraga_calchaquina"
"357",3109532,"Chuquiraga avellanedae","[0.5,0.99)",0.652542372881356,118,3109532,"Chuquiraga avellanedae Lorentz","Chuquiraga avellanedae","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Chuquiraga",6,7707728,220,414,3065,3109501,FALSE,"Magnoliopsida","Chuquiraga_avellanedae"
"358",3109534,"Chuquiraga longiflora","[0.5,0.99)",0.884057971014493,69,3109534,"Chuquiraga longiflora (Griseb.) Hieron.","Chuquiraga longiflora","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Chuquiraga",6,7707728,220,414,3065,3109501,FALSE,"Magnoliopsida","Chuquiraga_longiflora"
"359",3109537,"Chuquiraga oppositifolia","[0.5,0.99)",0.815533980582524,309,3109537,"Chuquiraga oppositifolia D.Don","Chuquiraga oppositifolia","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Chuquiraga",6,7707728,220,414,3065,3109501,FALSE,"Magnoliopsida","Chuquiraga_oppositifolia"
"360",3109538,"Chuquiraga parviflora","[0.5,0.99)",0.875,104,3109538,"Chuquiraga parviflora (Griseb.) Hieron.","Chuquiraga parviflora","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Chuquiraga",6,7707728,220,414,3065,3109501,FALSE,"Magnoliopsida","Chuquiraga_parviflora"
"361",3109542,"Chuquiraga aurea","[0.1,0.5)",0.271428571428571,70,3109542,"Chuquiraga aurea Skottsb.","Chuquiraga aurea","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Chuquiraga",6,7707728,220,414,3065,3109501,FALSE,"Magnoliopsida","Chuquiraga_aurea"
"362",3109991,"Dendrophorbium multinerve","[0.5,0.99)",0.8,25,3109991,"Dendrophorbium multinerve (Sch.Bip. ex Klatt) C.Jeffrey","Dendrophorbium multinerve","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Dendrophorbium",6,7707728,220,414,3065,3109929,FALSE,"Magnoliopsida","Dendrophorbium_multinerve"
"363",3110037,"Guynesomia scoparia","[0.5,0.99)",0.666666666666667,9,3110037,"Guynesomia scoparia (Phil.) Bonif. & G.Sancho","Guynesomia scoparia","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Guynesomia",6,7707728,220,414,3065,3110036,FALSE,"Magnoliopsida","Guynesomia_scoparia"
